s_no,article_title,article_body
16,IAS.,3                                                                                         www.visionias.in                                                                                    ©Vision IAS    4                                                                                         www.visionias.in                                                                                    ©Vision IAS  1. POLITY AND GOVERNANCE
17,1.1. TRIBUNAL SYSTEM IN INDIA,"Why in the News? Recently, the Supreme Court (SC) ruled that tribunals cannot direct the government  to frame policy. More about News • Context:  SC was deciding on whether the Armed Forces Tribunal (AFT)  could have directed the government  to make a policy to fill up the post of Judge Advocate General (Air). o The AFT was set up under the AFT Act, of 2007. o AFT provide for adjudication or trial of disputes and complaints to the commission, appointments, enrolment and conditions of service  in respect of persons subject to the Army Act, 1950, Navy Act, 1957, Air Force Act, 1950. ✓ It can further provide for appeals arising out of orders, findings or sentences of courts -martial  held under the said Acts and for matters connected therewith or incidental thereto. • Court Ruling : SC held that a tribunal subject to the High Court’s jurisdiction under Article 226, cannot be permitted by law, to direct the framing of a policy  by the Government. o Also, SC said that making policy is not in the domain of the Judiciary. About Tribunals System • Nature:  Tribunals are quasi -judicial bodies . The objective may be to reduce the caseload of the judiciary or to bring in subject expertise for technical matters. • Constitutional Recognition: In 1976 , Articles 323A and 323B were inserted in the Constitution of India through the 42nd Amendment. o  Article 323A : Empowered Parliament to constitute administrative Tribunals  (both at central and state level) for adjudication of matters related to recruitment and conditions of service of public servants. o Article 323B:  Specified certain subjects ( such as taxation and land reforms ) for which Parliament or state legislatures  may constitute tribunals by enacting a law. ✓ In 2010, the Supreme Court clarified  that subject matters under Article  323B  are not exclusive, and legislatures  are empowered  to create tribunals on any subject matter under their purview as specified in the Seventh Schedule of the Constitution. • Composition of Tribunals : The presence of expert members (technical members) along with judicial members  is a key feature of tribunals which distinguishes them from traditional courts. • Jurisdiction : Each tribunal is given specific jurisdiction  to hear and decide cases within its designated area of expertise. o Some tribunals have appellate jurisdiction , meaning they hear appeals from decisions made by lower authorities or government bodies.  5                                                                                         www.visionias.in                                                                                    ©Vision IAS  • Appeals: Appeals from tribunals usually lie with the concerned High Court .  However, some laws specify that appeals will be heard by the Supreme Court. o In Chandra Kumar Case (1997) , appeals against decisions of tribunals  were allowed in the division bench of High Courts. • Currently, tribunals have been created both as substitutes to High Courts and as subordinate to High Courts. Significance of Tribunals • Specialization : This specialization ensures  that cases are adjudicated by individuals with a deep understanding of the relevant legal and technical issues. • Speedy Resolution : This is particularly important in areas where timely decisions are crucial, such as service matters, tax disputes, and environmental issues. • Reduced Case Load:  By handling specific types of cases, tribunals contribute to reducing the burden on traditional courts, helping to address the issue of judicial backlog. • Accessibility:   Tribunals are geographically dispersed , with benches located across the country. • Efficiency in Service Matters : Administrative Tribunals, such as the Central Administrative Tribunal (CAT) , expedite the resolution of service -related matters for government employees. Concerns with Tribunals • Lack of Independence : Critics argue that certain tribunals might not be entirely independent, as their members are often appointed by the government. o This raises concerns about the potential for undue influence  or interference in decision -making. o In 2019, the SC reiterated that the lack of judicial dominance  in selection committees  of tribunals violates the doctrine of separation of powers . • Pendency of cases:  For example, in 2021 , the AFT had 18,829 pending cases. o The lack of human resources  is observed to be one of the key reasons for the accumulation of pending cases in courts. • Term of office: In 2019, SC stated that a short tenure of members  along with provisions of re-appointment  increases the influence and control of the Executive over the judiciary. • Lack of Uniformity in Procedures : Procedures adopted by different tribunals can vary widely, leading to inconsistency in the application of legal principles  and potential confusion for litigants. • Overlapping Jurisdictions : There have been instances of overlapping jurisdictions between tribunals and regular courts, leading to confusion and potential conflicts. • Concerns Regarding Technical Members : In certain tribunals, technical members may lack legal qualifications. Way Ahead • Enhance Independence : Mechanism for appointment and removal of members in tribunals , and tenure of their employment  should have adequate protection from legislative and executive interference. • Administration of Tribunals:  The Standing Committee  on Personnel, Public Grievances, Law and Justice (2015) recommended the creation of an independent body called the National Tribunals Commission (NTC)  for the administration of all tribunals in India. o In 2020, SC also emphasised creating NTC  to supervise appointments, as well as the functioning and administration of tribunals. • Timely Appointments : Expedite the appointment process for tribunal members to prevent delays in the resolution of cases and reduce backlogs. o A judicial impact assessment  would be helpful to determine the extra resources required to handle fresh cases resulting from the enactment of a new law. • Clear Jurisdictional Boundaries : Clearly define and demarcate the jurisdiction of each tribunal to avoid overlapping and conflicting decisions with regular courts. • Training and Qualifications : Ensure that technical members of tribunals possess adequate legal qualifications or receive training to understand legal principles, promoting a better understanding of the legal context. 6                                                                                         www.visionias.in                                                                                    ©Vision IAS  1.2. FINANCES OF PANCHAYATI RAJ INSTITUTIONS (PRIS) Why in the news? Recently, the Reserve Bank of India (RBI) released its report titled “Finances of Panchayati Raj Institutions” . The report discusses the fiscal position of PRIs for  the years 2020 -21 to 2022 -23. About Panchayati Raj Institutions and their finances • 73rd Constitutional Amendment Act 1992:  institutionalised the PRIs at three levels i.e., o Mandate for setting up of Panchayats is provided by Article 243 in Part IX  of the Constitution of India. o Panchayats, being Local Government , is a State subject . • Number of PRIs:  There are a total of 2.62 lakh PRIs in India , with 2.55 lakh Gram Panchayats, 6,707 Mandal Panchayats and 665 Zila Parishads as of October 2023. • Constitutional Provisions for Financial Empowerment of Panchayats o Article 243H: Provides for finance for the Panchayats  by securing authorization from State Legislatures for grants -in-aid to the Panchayats from the Consolidated Fund of the State. ✓ It empowers panchayats to  impose, collect , and allocate taxes, duties, tolls , and fees . o Article 243 -I: Setting up a Finance Commission (FC) every 5 years to review the financial position of Panchayats and make recommendations to improve their financial position. o Article 280(3)(bb): Mandates FCs to recommend measures needed to augment the Consolidated fund of the state and supplement panchayat resources  to the President. Sources of Finance for PRIs Internal/Own sources of revenue  • Tax Revenue  from Property tax on lands (other than Agriculture Land) or buildings or both; Taxes on Duties and Commodities; Service tax; Taxes on Profession Trades etc. • Non tax revenue  from market fees on persons exporting goods  for sale in Panchayat area; Fees on Registration of Cattle sold within the Panchayat area etc. Transfer of Funds from Central Finance Commission (CFC) and State Finance Commission (SFC)  • Tied Grants : Earmarked for specific purposes or sectors , like sanitation, education etc. • Untied Grants  (General purpose grants ): These are provided without specific conditions  or restrictions and can be utilised for  local needs and priorities . • Performance -based Grants : Additional funds granted to PRIs based on recommendations of CFCs and specific performance criteria . • Special Category Grants : These grants are additional financial support designed to address unique challenges or particular needs of PRIs in specific regions or contexts . Other Sources  • Transfer from Central Government and State Government under different schemes  like MGNREGA, PMAY (Rural), Sansad Adarsh Gram Yojana etc. • Grants from internationals bodies  like World Bank, etc. Challenges associated with the finance of PRIs • Structural challenges : Inadequate financial resources, heavy reliance on grants from upper tiers of government; and weak infrastructure impede the functioning of PRIs. o Around 95 % of their revenues  come from grants by higher levels of government. • Inconsistency in data : Assessment of the fiscal health of PRIs is difficult due to a lack of data on their revenues and expenditures and a lack of skilled staff  to maintain data in standardised formats. o Audit reports have been generated for only 46% of Gram Panchayats for 2019 -20. • Tax revenue : Sources of revenue for PRIs are limited, mainly property taxes, fees, and fines. o They face challenges in raising tax revenue due to a limited tax base, shortage of staff and adequate infrastructure along with a lack of clear guidelines  for introducing new taxes. • Corruption : Instances of misuse of funds for personal gain have hindered the ability of PRIs to effectively carry out their roles and responsibilities.  7                                                                                         www.visionias.in                                                                                    ©Vision IAS  o For example, Rs 1.58 crore was diverted from the gram panchayat account without prior permission from the panchayat body and higher officials in Vijayawada. • State Finance Commissions (SFC):  As per rural development and Panchayati raj report, only 9 states have been constituting SFCs regularly, and out of them, only two are active. Initiatives taken to improve financial ecosystem of PRIs. • e-Gram Swaraj:  It assist in enhancing the credibility of Panchayats  which would induce greater devolution of funds to PRIs as well as provide a platform for effective monitoring by higher authorities. • Gram Panchayat Development Plan (GPDP) : It is an annual exercise carried out  by Ministry of Panchayati Raj (MoPR) in all Gram panchayats and other local self -governance bodies where GP development plans are prepared in a participatory manner under people’s Plan Campaign. • Capacity Building - Panchayat Sashaktikaran Abhiyan (CB -PSA): It had provided assistance to the States/ UTs for capacity building and training of Panchayat Elected Representatives  to enable them to perform their functions, including planning and implementation of development programmes, effectively and efficiently. • Rashtriya Gram Swaraj Abhiyan (RGSA): It aims to strengthen capacities of institutions for rural local governance  to become more responsive towards local development needs, and efficiently utilise available resources for realizing sustainable solutions to local problems linked to SDGs. Way forward • Budgetary support : Increase budgetary allocations from higher levels of government to ensure PRIs have sufficient resources  to fulfil their responsibilities. Also, steps should be taken to diverse funding sources of the PRIs. • Skilling : Training and capacity -building of PRI members to enhance their financial management skills, ensuring effective and transparent handling  of funds. • Accountability : Enforce strict financial accountability measures, regular and independent audits, and transparent reporting mechanisms to prevent misuse of funds  and corruption. • Strengthening SFC : SFCs should be constituted timely every 5 years and reports should be tabled in state legislatures regularly. It can fortify the financial position of PRIs  and help them in better delivery of their responsibilities. • Awareness : Raise citizen’s awareness about the functions and significance of PRIs by encouraging their increased participation in local governance processes ."
18,1.3. STREET VENDORS (PROTECTION OF LIVELIHOOD AND REGULATION OF,
19,"STREET VENDING) ACT, 2014","Why in the news? Recently, the Minister of Housing and Urban Affairs  highlighted the slow pace of implementation of the provisions of the Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act, 2014. More about the news • A revamped PAiSA Portal Dashboard  and the PM SVANidhi Mission Monitoring Portal were also launched at the event. o Portal for Affordable credit and Interest Subvention Access (PAiSA) is a portal designed to provide a centralized platform for Processing of Interest Subsidy to eligible beneficiaries under PM Svanidihi, Self -Employment Program etc. Key features of the Street Vendors Act, 2014 • Rights of street vendors: Every street vendor shall have the right to carry on the business of street vending activities as per the terms and conditions mentioned in the certificate of vending. • Duties of Street Vendors: o Remove his goods and wares every day at the end of the time -sharing period allowed to him. o Maintain cleanliness and public hygiene  in vending zones and adjoining areas. o Maintain civic amenities and public property  in the vending zone in good condition. o Payment of maintenance charges  for the civic amenities and facilities as determined by local authorities. • Town Vending Committees (TVCs): They are to be established in each Local Authority. These committees are in charge of enumerating, identifying, and allocating vending zones in a city. 8                                                                                         www.visionias.in                                                                                    ©Vision IAS  o TVCs are to be heterogeneously constituted with at least 40% of its elected members being street vendors , of which one-third are to be women. • Survey of the Street Vendors: At least once every five years  for the issuance of a Certificate of Vending (CoV) to the vendors identified. • Ceiling limit on the number of vendors: It is set at 2.5% of the population of the ward or zone or town or city for accommodating the vendors in the respective vending zones. • Grievance redressal Committees: They are to be set up by the States under the chairmanship of a retired judicial officer  to maintain impartiality towards grievances of street vendors. • Period for the release of seized goods : For non-perishable goods,  the goods are to be released within two working days  and in the case of perishable goods , the goods shall be released the same day  of claim. Challenges associated with the functioning of the act • Lopsided implementation: Despite a decade since enactment  only 17 States have constituted Grievance redressal Committees for the welfare of the street vendors. o The TVCs are yet to be formed  in many Urban local bodies and existing TVCs also lack proper representation  in many states. • Ceiling on Number of Vendors : The act has set the limit of street vendors to 2.5% of the total population of the ward/city , which is inadequate for a major metropolis like Delhi, Mumbai etc. • Exclusion of Railways land and its premises : The act does not apply  to any land, premises and trains owned and controlled by the Railways , which is a huge business area for the vendors. • Lack of uniformity: Currently, street vending is regulated under municipal laws enacted by state legislatures and this leads to a lack of uniformity in its implementation. o For example, Brihanmumbai Municipal Corporation  issued a Certificate of Vending  based on domicile certificates till 2022, despite domicile not being a criterion under the 2014 act. Way forward For better implementation of the Act • Revision of the ceiling on the number of vendors : It can be increased in consonance with the nature of the city  and as per the latest survey of street vendors. • Ensuring adequate representation: Street vendors and TVCs as stakeholders while deciding any policy framework that impacts their livelihood. • Creation of Vending Zones near Railway Stations : This will provide more opportunities for the vendors and ensure more consistent implementation of the Act. • Integration with the Smart City mission : Including members from the Street vendor’s community in deliberations and formulation of  the Smart City projects . • Establishment of Model Vending zones  as ""Light House Projects"" by the Ministry of Housing and Urban Affairs, to be replicated in states. For the Welfare of Street Vendors • Issuance of Smartcards which integrate the details of Vendor ID cards and Certificate of Vending. • Sensitize police force and local body officials by including the Street Vendors Act in their training curriculum to avoid excessive actions over street vendors. • Publish Street vendors charter by every TVC specifying the time within which a CoV shall be issued, renewed and other activities to be performed.  9                                                                                         www.visionias.in                                                                                    ©Vision IAS  1.4. REVAMPED SCHEME FOR ADMINISTRATIVE REFORMS Why in the News? The government has approved funds  for the revamped Scheme for Administrative Reforms of the Department of Administrative Reforms and Public Grievances (DARPG) . About the revamped Scheme for Administrative Reforms • Ministry: Ministry of Personnel, Public Grievances & Pensions. • Period: The scheme is to be implemented  in the next two years (2024 -25 and 2025 -26) of the 15th  Finance Commission Cycle. • 2 Verticals : Comprehensive System for Redressal of Public Grievances and Administrative Reforms. o Scheme for  Comprehensive System for Redressal of Public Grievances: ✓ Quality of grievance redressal: Taking forward the 10 -Step CPGRAMS reforms (refer to table) aimed at improving the quality of grievance redressal. ✓ AI-Assisted Redressal : Reducing timelines  by developing an AI -assisted  Public Grievance Redressal System  (CPGRAMS) . ✓ Unified Grievance Redressal : The project will integrate all other grievance  portals, thus making CPGRAMS the single largest interface for public grievances. ✓ Capacity building:  Deeper technology adoption , capacity building of grievance redressal officers,  etc. o Scheme for  Administrative Reforms : ✓ Strategic Allocation : The scheme seeks to utilize resources for  International Exchange and Cooperation activities, the National e -Governance Awards  Scheme  etc. About Centralised Public Grievance Redress and Monitoring System (CPGRAMS) • DARPG has put in place CPGRAMS since 2007. • It is an online platform available  to the citizens 24x7 to lodge their grievances to the public authorities on any subject related to service delivery. • It is a single portal  connected to all Ministries/Departments of Government of India and States. • Issues that are not taken for redress: o RTI Matters. o Court related matters. o Religious matters, etc. • In 2022 , Government implemented the 10- step reforms of CPGRAMS.  10                                                                                         www.visionias.in                                                                                    ©Vision IAS  1.5. NEWS IN SHORTS"
20,1.5.1. DUAL CITIZENSHIP,"• Recently the Union External Affairs Minister  remarked that dual citizenship is a challenge in India. • Dual or Multiple Citizenship: It grants an individual legal status as a citizen of two or more countries simultaneously. • Countries offering dual citizenship : United States, Finland, Albania, Israel, and Pakistan, etc. • The Indian Constitution prohibits  dual citizenship for nationals. • Alternative to dual citizens in India ○ India offers the Overseas Citizenship of India (OCI) program to Persons of Indian Origin (PIO), excluding those who migrated to Pakistan and Bangladesh. • Benefits for OCI cardholders ○ Multi -purpose, multiple entry, lifelong visa  for visiting India. ○ Exemption from registration with local police authority for any length of stay in India. ○ Parity with NRIs  in respect of economic, financial, and education fields except in matters relating to the acquisition of agricultural/plantation properties. • Foreign national eligible to apply for OCI ○ Who was eligible to become a citizen of India  on 26.01.1950. ○ Was a citizen of India on or at any time  after 26.01.1950. ○ Who is a child or a grandchild or a great - grandchild of such a citizen given above."
21,1.5.2. SUPREME COURT LEGAL SERVICES,
22,COMMITTEE (SCLSC),"• Recently, a Supreme Court judge has been nominated as the Chairman of the SCLSC. • About SCLSC o It is a statutory body . ✓ Constituted under section 3A of Legal Services Authorities Act, 1987  by National Legal Service Authority. o Objective : Providing free legal services to poor, under -privileged and those marginalized  in society. o Chief Justice of India  in Patron -in-Chief of Committee. • Members: Chairman (sitting Judge of SC) and 9 members (nominated by the Chief Justice of India)."
23,1.5.3. SC ANNULS REMISSION IN BILKIS,
24,BANO CASE,"• Supreme Court sets aside remission of 11 convicts in Bilkis Bano’s case given by Gujarat government • SC held that Gujarat is not appropriate government to decide on remission petition as the trial was conducted in Maharashtra. Thus, remission orders were held to be  invalid. • Remission refers to reduction in period of sentence that has been imposed on a person, without affecting the nature of sentence. o State  may release convicts early under its remission policy . • Constitutional provisions related to Remission o Article 72  empowers President of India  to grant pardons, reprieves, respites, suspend, remit, or commute the sentence of a person convicted of any offense where sentence is ✓ by a court Martial ; ✓ for an offence against any law relating to a matter to which executive power of Union extends; ✓ a sentence of death . o Under Article 161,  Governor's power is similar to that of President, but limited to a matter to which executive power of state extends. • Legal basis of Remission o Section 432 of Criminal Procedure Code (CrPC) 1973  grants government power to suspend or remit sentences. o Section 433A mandates remission only after 14 years of imprisonment .   11                                                                                         www.visionias.in                                                                                    ©Vision IAS  Supreme Court verdict on Remission • Laxman Naskar versus Union of India (2000):  SC laid down five grounds  on which remission is to be considered. o offence affects society at large ; o probability  of crime being repeated ; o potential of convict to commit crimes in future; o if any purpose is being served  by keeping convict in prison; and o socio -economic condition  of convict's family. • State of Haryana vs. Rajkumar (2021):  Court held that Section 433 -A of CrPC cannot and does not in any way affect the constitutional power conferred on President/Governor  under Articles 72/161 of Constitution."
25,1.5.4. PANEL FOR EQUITABLE,
26,DISTRIBUTION OF BENEFITS AMONGST,
27,SCS,"• Centre forms committee for the equitable distribution of benefits amongst Scheduled Castes (SCs) across the country • Committee under Cabinet Secretary  will formulate a methodology to ensure the fair distribution of benefits and initiatives among over 1,200 Scheduled Castes nationwide that have been crowded out by relatively forward ones. • Although the committee cannot delve  into questions of reservation , its constitution holds significance owing to the demand for sub -categorisation of SCs. ○ A 7 judge Constitution bench  of Supreme Court (SC) is set to hear if states have power to subcategorise SCs. • Legal Precedents on Sub categorisation of SCs ○ In E.V. Chinnaiah v State of Andhra Pradesh  the SC held that the subcategorisation of SCs by State is violative of the right to equality as well as Article 341 of the Constitution. ✓ Article 341  gives the President the power to create a list of SC communities for reservation. ○ In State of Punjab v. Davinder Singh (2020) SC held that deciding on the quantum of benefi ts in the lists of SCs/STs already notified would not amount to “tinkering” with it and States could do it. ○ ‘Jarnail Singh v Lachhmi Narain Gupta 2018 the SC upheld the concept of “creamy layer” within SCs too (for reservation in promotion). ○ Experts also belive that Article 16(4) of the Constitution already provided for States to create special laws for any backward classes it felt were under -represented."
28,1.5.5. MPLADS E -SAKSHI MOBILE,
29,APPLICATION,"• MPLADS (Member of Parliament Local Area Development Scheme (MPLADS) e -SAKSHI Mobile Application was launched by Ministry of Statistics and Programme Implementation  (MoSPI) that allows MPs to propose , track, and oversee projects under MPLAD Scheme. • About MPLADS o Central Sector Scheme under MoSPI. o MPLADS funds used for  creation of durable community assets in areas of drinking water , primary education, etc. o Atleast 15 percent of MPLADS entitlement allocated for areas inhabited by Scheduled Caste population  and 7.5 percent for areas inhabited by ST population. o Funds are non -lapsable  i.e. if money is not utilised, it gets carried to next year. o District authority must inspect atleast 10% of all work under implementation  every year."
30,1.5.6. SOCIAL AUDIT ADVISORY BODY,
